город;	школа;
 Якутск;	Республиканский лицей;
	лицей 1568;
 Санкт-Петербург;	лицей 239;
 п. Ашукино;	Ашукинская СОШ;
	
 36;	Ярославль;
	
	
	
 Пермь;	школа 9;
	
	
	
	2086;
	
 Самара;	СУНЦ МГУ;
	лицей 1574;
	
 Вышний Волочёк;	5;
	
	школа 1741;
 Октябрьский;	гимназия 2;
 Москва;	СУНЦ МГУ;
	
 Чебоксары;Чебоксары ;	гимназия 5;
 Новосибирск;	Экономический лицей;
  Казань;	
 Курган;	гимназия 30;
	
	
 Санкт-Петербург;	
	
	
	
	
	
	
	
 Санкт-Петербург;	лицей 239;
	
 Санкт-Петербург;	лицей 395;
 Уфа;	
	
 Москва;	школа 2007;
	
 Жуков;	СУНЦ;
	
 Вършец;	
	
 Витебск;	гимназия 8;
 Москва;	школа 2033;
	
 Харьков;	
 Москва;	лицей 1568;
	
 Москва ;	1568;
 Северск;	Северская гимназия;
 Протвино;	"Гимназия" г. Протвино;
 Москва;	СУНЦ МГУ;
 Москва;	лицей 1535;
	
	
 Вологда ;	ВМЛ;
	
 Уфа;	лицей 68;
	
	
	
	
 Плевен;	
 г. Белгород;	лицей 38;
	
 Кемерово;	"ГКЛ";
	
 Протвино;	"Лицей";
 Минск;	Лицей БГУ;
 Жуковский;	14;
 Москва ;	лицей "Вторая школа";2;
	
	
	54;
 г. Москва;	школа 179;
 с. Берёзовка;с. Ламское;Липецкая область, Становлянский р-н, с. Ламское;	Филиал   СОШ с. Ламское в с. Берёзовка;СОШ с. Ламское;Школа;СОШ села Ламского;
 с. Берёзовка;	
 с. Ламское;	СОШ;
 Сергиев Посад;	школа 4;
 Санкт-Петербург;	школа 422;
	
	
 Москва;	1514;
 Чебоксары;	лицей 3;
	
 Брянск ;	1;лицей 1;
	
	
	
 Москва;	Гимназия Троицка;
	
	
	
	
	57;
 Нижнекамск;	школа 33;
	
	
	
	
Уфа;	лицей 153;
 Курган;	гимназия 47;
	
 Уфа;г.о. город Уфа;	лицей 83;
	гимназия 1576;
 г. Дюртюли;	лицей 2;
 Москва;	
	лицей 1533;
 Чебоксары;г. Чебоксары;	лицей 3;
	
	
	
	
	
	
	
	
 Орша;	гимназия 2;
	
 СУНЦ МГУ;	СУНЦ;
	
	
 СУНЦ МГУ;Саратов ;	1;
 г. Киров;Санкт-Петербург;	КФМЛ;
Химки;	57;школа ЦО 57;
 Новочебоксарск ;	18;
	
  Дербент;	15;
	
	
	
	
	
 Санкт-Петербург;	лицей 239;
	26;
	СУНЦ;СУНЦ МГУ им. М.В. Ломоносова;
	
 Элиста;	«Элистинский лицей»;
	
 Иваново;	лицей 33;
 Ереван;СПб;	ФМШ ЕГУ;
	
	
 Новосибирск;	лицей 81;
 Харьков;	гимназия 45;
	
	
	2020;
 Пермь;	школа 9;
	
Новосибирск;	лицей 130;
	
	
	
 г. Москва;	лицей 1568;
	
	
	
 Томск;Томска;	лицей при ТПУ г.Томска;
	
	
 Санкт-Петербург;	лицей 366;
	
	
 Москва;	гимназия 1588;
 Химки;	
	
 Стерлитамак;	лицей 1;
 Екатеринбург;	
	
	
 Москва ;	СУНЦ МГУ;
	
 Санкт-Петербург;	533;
 Санкт-Петербург;	школа 619;
 г. Иваново;	лицей 33;
 Северодвинск;	лицей 17;
 Санкт-Петербург;	лицей 30;
 Элиста;	19;
	
	
Уфа;	3;
 Москва;	2007;
 Элиста;	"Элистинский лицей";
	
 Набережные Челны;	гимназия 26;
	
	
 Санкт-Петербург;	239;
	
	школа 1411;
	
	
	
	
	
 Альметьевск;	лицей 2;
	
	
	
 Саранск;	РМ «Республиканский лицей для одарённых детей»;
 Старый Оскол;	24;школа 24;
	
 Жуковский;	лицей 14;
 Новоуральск; Екатеринбург;	гимназия 41;СУНЦ УрФУ;
 Раменское;г. Раменское;Раменское";	гимназия;"Гимназия г.Раменское";
 село Цаган-Аман;	Цаганаманская гимназия;
	
 с.Чапаево;	"Октемский лицей";
	
	
	
	
 Долгопрудный;	лицей 5;
	
 Чишмы;	Гимназия муниципального района Чишминский район Республики Башкортостан;
 Ижевск;	лицей 41;
	
Москва;г. Москва;	2;лицей "Вторая школа";Лицей "Вторая школа";
	
 Санкт-Петербург ;	239;
 Москва;	ЦО 57;
	
	
	
	лицей 1580;
	
	
	
 Рыбинск;г. Рыбинск;Санкт-Петербург;	2;лицей 2;
 Курган;	гимназия 19;
	
 Москва;	91;школа 91;
 1580;	
 Москва;	СУНЦ;СУНЦ МГУ;
	
	918;
	школа 918;
 Санкт-Петербург;Санкт-Петербург ;	лицей 239;
	
	
	
 Уфа;	лицей 153;
	
	
	
	
	
	
 Иваново;	лицей 33;
Москва;	2007;
	
 Плеханово;	школа 3;
	
 Москва;	школа 2007;
 Москва;	25;2086;
 Уфа;	лицей 83;
	
	
	
	
	
 Санкт-Петербург;	лицей 239;
	школа 54;
 Москва;	лицей 1574;
	
	1106;
	
	
	
 Саратов;	лицей 1;
	
	
	
	
	
 Санкт-Петербург;	лицей 533;
	
 179;	
 Елизово;	школа 2;
	
 Калининград;	гимназия 32;
	
 Санкт-Петербург;	школа 292;
 Москва;	школа 444;
 Кемерово;	гимназия 21;
	
 Тверь;	школа 17;
	Интеллектуал;
 Саранск;	Республиканский лицей - Центр для одаренных детей;
	
	
 Жуковский;	10;
	
	
	
	
	
 Волжский;	школа 30;
 Уфа;	лицей 153;
 Тольятти;	
	
 Великий Новгород;	23;
 Санкт-Петербург;	292;
 Санкт-Петербург;	Вторая Санкт-Петербургская гимназия;
 Санкт-Петербург;	Лицей "Физико-техническая школа";
	
 1514;	
	
	57;
	
 Москва;	лицей 1535;
 Томск;	
	
	
 Санкт-Петербург;	
 Калуга;	9;
	1310;
	
	
 Саратов;	лицей 1;
	
 Киров;	КФМЛ;
 Саратов;	лицей 1;
	1568;57;
  Москва;	Школа "Интеллектуал", Москва;
  Москва;	школа 179;57;
	
 Москва;	2007;
	
	
	
Волжский;	школа 37;
	
 Глазов;	Физико-математический Лицей;
 Зеленоград;	гимназия 1528;
 Череповец;	Общеобразовательный лицей "АМТЭК";
	
 Ленинградская область;	Сусанинская СОШ;
	
	
	
	
 Ангарск;	
	
	
 Санкт-Петербург;	гимназия 261;
 Пущино;	
	лицей 83;
 Тихвин;	школа 6;
 57;	
	
 Владикавказ;	школа 38;
 Кингисепп;	школа 1;
 Липецк; Липецка имени В.А. Котельникова;	гимназия 64;
 Москва;	школа 2086;
 2;	
 Димитровград;	МПЛ;
	
	гимназия 1584;
 Лепель;	гимназия им. И. М. Ерашова;
	
 Москва;	870;
	
 Санкт-Петербург;	
 Москва;	1537;
 Москва;	1517;
	54;школа 54;
	
 1553;	
 Бургас;	
	
 Самара;	135;
 Интеллектуал;	Интеллектуал;
	1434;
 г. Москва;	ЦО 57;
	
	
 Санкт-Петербург;	лицей 344;лицей 30;
Саранск;	РМ «Республиканский лицей для одарённых детей»;
	
	
	
	
 Глазов;	Физико-математический лицей;
 Самара;	Самарский медико-технический лицей;
	
 Ижевск;	лицей 29;
 Ангарск;	школа 10;
	
 Октябрьский;	гимназия 2;
 1018;	
	
	
	
 Тула;	54;
	
 Тамбов;	лицей 14;
 Магнитогорск;	лицей 1;
 Санкт-Петербург;	школа 564;
Обнинск;	лицей ФТШ;
	
	
	
 Сыктывкар ;	КРФМЛИ;
	
	618;
 Долгопрудный;	лицей 5;
	
	гимназия 1514;
	
Белгородский инженерный юношеский лицей-интернат;	Белгородский инженерный юношеский лицей-интернат;
 Архангельск ;	3;
 Тольятти;	лицей 57;
	
 Москва;	школа 179;
 Калуга;	24;
	
	
 Москва;	54;
 Краснодар;	школа 20;лицей 4;
  Москва;	школа 2007;
Москва ;	2;Вторая школа;
	
	
 г. Иваново;	лицей 33;
	
	
 Москва;	198;
	
 Москва;	лицей 1568;
 Москва ;	СУНЦ МГУ;
	СУНЦ;
	
	
 Березники;	школа 3;
 Фурманов;	школа 1;
	
 Строитель;	школа 3;
	
	
