город	школа
 Московская область;	 Лесногородская СОШ;
 	 54;
 	 
 Павлодар;	 ГУ Школа-лицей №8 для одарённых детей;
 	 
 	 
 	 
 	 
 СПб;	 30;
 Брянск;	 1;
 Долгопрудный;	 АНО СОШ Содружество;
 	 ГБОУ лицей № 1533;
 	 
 Старый Оскол;	 МАОУ СОШ №24;
 	 
 	 
 	 
 	 
 Санкт-Петербург;	 ГБОУ Лицей №533;
 Салават;	 МБОУ СОШ №21;
 Санкт-Петербург;	 ГБОУ Лицей 533;
 Павлодар;	 ГУ Школа-лицей №8 для одарённых детей;
 	 
 Дзержинск;	 МБОУ "Гимназия №38";
 	 
 	 
 Санкт-Петербург;	 ГБОУ ФМЛ №239;
 Уфа;	 
 	 
 	 
 	 
 	 
 Москва;	 СУНЦ МГУ; школа 179;
 	 
 Москва;Москва ;	 1543;
 	 
 	 
 	 
 	 
 Челябинск;	 11;
 Харьков;	 гимназия №47 ;
 	 
 Интеллектуал;	 
 	 
Санкт-Петербург 	ГБОУ «Президентский ФМЛ №239»
 	 
 	 1567;ГБОУ гимназия № 1567;
 Чистополь;	 
 	 
 Санкт-Петербург;	 239;
 Железногорск (Красноярский край);	 МБОУ Лицей №102;
 	 1568;ГБОУ гимназия № 1558 имени Росалии де Кастро;
 	 
 Москва ;	 СУНЦ;СУНЦ МГУ им. М.В. Ломоносова;   СУНЦ МГУ;
 	 ГБОУ лицей № 1568;
Москва	 179;
 Санкт-Петербург;	 ЕНЛ СПБПУ;
 	 1101;
 	 
 Королёв ;	    ЛНИП;
 Балашиха;	 лицей;
 Набережные Челны;	 МБОУ "Гимназия 26";
 2007;	 2007;
 1534;	 
 Санкт-Петербург;	 ГБОУ СОШ № 639;
 2;	 
 	 
 	 
 Якутск;	 2;
  Пинск;	 
 	 
 Сыктывкар ;	    КРФМЛИ;
 	 
 	 
 	 
 Долгопрудный;лицей 5;	 5;Долгопрудный;
 	 2;
 	 
 	 
 	 
 	 
 Санкт-Петербург;	 Лицей №393;
Санкт-Петербург 	ГБОУ «Президентский ФМЛ №239»
 	 
 Раменское;	 Раменская СОШ №21 с углубленным изучением отдельных предметов;
 	 
 	 
 	 
 	 
 	 
 	 
 Санкт-Петербург;	 Лицей «Физико-техническая школа»;Лицей "Физико-техническая школа";
 	 
 	 
 г. Ангарск;	 МАОУ "Ангарский лицей № 2";
 Санкт-Петербург;	 
 	 
 Долгопрудный;лицей 5;	АОУ лицей №5;
 	 СОШ № 179 МИОО;
 	 
 Москва;	 ГБОУ СОШ № 806 отделение 3;
 	 
 	 
 Санкт-Петербург;	 
 Северодвинск;Северодвинск ;	 МБОУ Общеобразовательный лицей №17;
 	 
 	 
 	 
 	 
 г. Санкт-Петербург;	 Лицей "Физико-техническая школа";
 Омск;Санкт-Петербург;Рязань;Москва;г. Санкт-Петербург;	 СОШ N113;Физико-Математический Лицей №366;МБОУ "Ордена "Знак Почета" гимназия №2 имени И.П. Павлова";Лицей «Физико-техническая школа»;ГБОУ ЦО 1296;ГБОУ Лицей "Физико-техническая школа" Академического университета;
 Москва ;	 ГБОУ лицей № 1523;
 	 
 	 
  Омск;	 
 	 
Санкт-Петербург 	Лицей "Физико-техническая школа" 
 Иркутск ;	 36;
 Витебск;	 Гимназия 8;
 	 
 	 
 г. Москва;	 ГБОУ СОШ № 152;
 	 ГБОУ СОШ № 648;
 	 ГБОУ гимназия № 1554;
 	 
 Москва;	 ГБОУ лицей №1580;
 Санкт-Петербург;	 ГБОУ Лицей 533;
 Омск;	 Лицей No92;
 Москва ;	 ГБОУ СОШ № 853;
 Санкт-Петербург;	 АГ СПбГУ;
 	 
 Волжский ;	 30;
 	 
 Новосибирск;	 гимназия №6 "Центр Горностай";
 	 
 	 
 	 
 Белгород;	 
 	 
 	 
 	 1518;
 Москва;Москва ;	 СУНЦ МГУ;СУНЦ МГУ им. М.В. Ломоносова;   СУНЦ МГУ;
 	 
 	 
 	 
 	 
 Москва;	 НОУ СОШ «Светлые Горы»;
 Москва;Москва ;	 СУНЦ;СУНЦ МГУ;   СУНЦ МГУ;Специализированный учебно-научный центр (факультет) — школа-интернат имени А.Н.Колмогорова Московского государственного университета имени М.В.Ломоносова;
 	 2007;
 	 
 	 
 	 
 Екатеринбург;	 СУНЦ УрФУ;
 	 
 	 
 Дубна;	  Лицей 6;
 	 
 	 гимназия 1543;
 	 
 	 
 	 
 	 
 	 
 	 
 179;	 179;
 	 
 	 
 	 
 	 ГБОУ гимназия № 1517;
 	 Православная Свято-Петровская школа;
 	 
 Якутск;	 Республиканский лицей;
 	 лицей 1568;
 Санкт-Петербург;	 ФМЛ №239;
 п. Ашукино;	 МБОУ Ашукинская СОШ;
 	 
 36;	 Ярославль;
 	 
 	 
 	 
 Пермь;	 МАОУ СОШ №9 имени А.С.Пушкина;
 	 
 	 
 	 
 	 2086;
 	 
 Самара;	 СУНЦ МГУ;
 	 ГБОУ лицей № 1574;
 	 
 Вышний Волочёк;	 5;
 	 
 	 ГБОУ СОШ № 1741;
 Октябрьский;	 МБОУ Гимназия №2;
 Москва;	 СУНЦ МГУ;
 	 
 Чебоксары;Чебоксары ;	 МАОУ Гимназия №5;
 Новосибирск;	 Экономический лицей;
  Казань;	 
 Курган;	 Гимназия №30;
 	 
 	 
 Санкт-Петербург;	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 Санкт-Петербург;	 ФМЛ №239;
 	 
 Санкт-Петербург;	 Лицей №395;
 Уфа;	 
 	 
 Москва;	 ГБОУ Физматшкола 2007;
 	 
 Жуков;	 СУНЦ;
 	 
 Вършец;	 
 	 
 Витебск;	 ГУО Гимназия No8;ГУО гимназия №8;
 Москва;	 ГБОУ СОШ с углубленным изучением английского языка №2033;
 	 
 Харьков;	 
 Москва;	 ГБОУ лицей №1568;
 	 
 Москва ;	 1568;
 Северск;	 Северская гимназия;
 Протвино;	 МБОУ "Гимназия" г. Протвино;
 Москва;	 СУНЦ МГУ;
 Москва;	 ГБОУ Лицей №1535;
 	 
 	 
 Вологда ;	    ВМЛ;
 	 
 Уфа;	МБОУ Лицей №68;
 	 
 	 
 	 
 	 
 Плевен;	 
 г. Белгород;	 МАОУ "Лицей №38";
 	 
 Кемерово;	 МБНОУ "ГКЛ";
 	 
 Протвино;	 МБОУ "Лицей";
 Минск;	 Лицей БГУ;
 Жуковский;	 14;
 Москва ;	 ГБОУ лицей "Вторая школа";2;
 	 
 	 
 	 54;
 г. Москва;	 СОШ 179 МИОО;
 с. Берёзовка;с. Ламское;Липецкая область, Становлянский р-н, с. Ламское;	 Филиал МБОУ СОШ с. Ламское в с. Берёзовка;МБОУ СОШ с. Ламское ;Школа;МБОУ СОШ села Ламского;
 с. Берёзовка;	 
 с. Ламское;	 МБОУ СОШ;
 Сергиев Посад;	 МБОУ СОШ №4;
 Санкт-Петербург;	 ГОУ СОШ №422;
 	 
 	 
 Москва;	 1514;
 Чебоксары;	 МАОУ "Лицей №3";
 	 
 Брянск ;	 1;МБОУ лицей №1 им. А.С. Пушкина;
 	 
 	 
 	 
 Москва;	 Гимназия Троицка;
 	 
 	 
 	 
 	 
 57;	 57;
 Нижнекамск;	 МБОУ СОШ №33;
 	 
 	 
 	 
 	 
Уфа	МБОУ Лицей №153
 Курган;	 Гимназия №47;
 	 
 Уфа;г.о. город Уфа;	 МБОУ лицей №83;МБОУ Лицей № 83;
 	 ГБОУ гимназия № 1576;
 г. Дюртюли;	 МБОУ Лицей № 2;
 Москва;	 
 	 ГБОУ лицей № 1533;
 Чебоксары;г. Чебоксары;	 Лицей№ 3;МАОУ Лицей №3;МАОУ "Лицей №3";
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 Орша;	 гимназия №2;
 	 
 СУНЦ МГУ;	 СУНЦ;
 	 
 	 
 СУНЦ МГУ;Саратов ;	 1;
 г. Киров;Санкт-Петербург;	 КФМЛ;
 57;Химки;	 57;ГБОУ ЦО № 57 «Пятьдесят седьмая школа»;
 Новочебоксарск ;	 18;
 	 
 	 15 г. Дербент;
 	 
 	 
 	 
 	 
 	 
 Санкт-Петербург;	 ГБОУ ФМЛ №239;
 	 26;
 	 СУНЦ;СУНЦ МГУ им. М.В. Ломоносова;
 	 
 Элиста;	 МБОУ «Элистинский лицей»;
 	 
 Иваново;	 МБОУ общеобразовательный лицей №33;
 Ереван;СПб;	 ФМШ ЕГУ;
 	 
 	 
 Новосибирск;	 Лицей №81;
 Харьков;	 УВК №45 «Академическая гимназия»;
 	 
 	 
 	 2020;
 Пермь;	 МОУ СОШ №9 им. А.С.Пушкина;
 	 
Новосибирск	МБОУ Лицей №130 имени академика М.А.Лаврентьева
 	 
 	 
 	 
 г. Москва;	 ГБОУ лицей №1568;
 	 
 	 
 	 
 Томск;	 МБОУ лицей при ТПУ г.Томска;
 	 
 	 
 Санкт-Петербург;	 ФМЛ №366;ГБОУ ФМЛ №366;
 	 
 	 
 Москва;	 ГБОУ Гимназия №1588;
 Химки;	 
 	 
 Стерлитамак;	 МБОУ Лицей №1;
 Екатеринбург;	 
 	 
 	 
 Москва ;	    СУНЦ МГУ;
 	 
 Санкт-Петербург;	 533;
 Санкт-Петербург;	 ГБОУ СОШ №619;
 г. Иваново;	 МБОУ лицей 33;
 Северодвинск;	 МБОУ "Общеобразовательный лицей" №17;
 Санкт-Петербург;	 ГБОУ «Санкт-Петербургский губернаторский физико-математический лицей № 30»;
 Элиста;	 19;
 	 
 	 
Уфа	 МБОУ ордена Дружбы народов гимназии № 3 им. А.М.Горького;
 Москва;	 2007;
